name,depth,parent,part_file,config,part_path,mass,volume,density,com_x,com_y,com_z,Ixx,Iyy,Izz,Ixy,Ixz,Iyz,bbox_xmin,bbox_ymin,bbox_zmin,bbox_xmax,bbox_ymax,bbox_zmax,tx,ty,tz,R00,R01,R02,R10,R11,R12,R20,R21,R22
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-8,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.1023979115440459,0.017832000000036128,-0.7170478618781866,3.3577445916013905e-10,2.1383121308289194e-09,2.1383121308289194e-09,-2.31731714561121e-24,-3.49345672583577e-23,-8.614833849567957e-26,0.09439999999998953,0.014238363169157782,-0.720641498709065,0.10739999999998963,0.021425636830914502,-0.7134542250473082,0.10739999999998957,0.017832000000036187,-0.7170478618781865,2.366840201760578e-16,-1.8800712670529243e-14,1.0,0.9237280213470747,0.38304900806322156,6.982962677686169e-15,-0.38304900806322156,0.9237280213470747,1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-3,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.09579791154404532,-0.039267861878155286,-0.6599479999999971,3.3577445916013905e-10,2.1383121308289198e-09,2.1383121308289198e-09,-1.7771437335585873e-23,-1.9915229151780508e-23,-1.2791731836672249e-25,0.08779999999998891,-0.04300670663984317,-0.663686844761685,0.10079999999998907,-0.03552901711646744,-0.6562091552383091,0.10079999999998898,-0.039267861878155265,-0.659947999999997,-1.0877550914961892e-14,1.3575548034557521e-14,1.0,-0.485147682716722,-0.8744322306243033,6.593678129778588e-15,0.8744322306243033,-0.485147682716722,1.6097826780874688e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP-5,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,2.9268832639077632e-05,2.9268832639077632e-08,1000.0,0.0908985498304404,0.039593120960133024,-0.6608494513257607,1.1080941708993491e-10,3.536485776843505e-11,1.108113059434867e-10,2.4454414416932258e-17,5.557090193647562e-16,-2.955579880869991e-17,0.08813032283111799,0.03543200000003466,-0.6636176771688681,0.0936667758028589,0.042024982784622675,-0.6580812241971271,0.09089854931698843,0.042032000000034674,-0.6608494506829976,-0.5469441386040037,0.8371691043312125,-4.982962677686308e-15,-9.66521111710783e-15,2.663010380596217e-17,1.0,0.8371691043312125,0.5469441386040037,7.982962677686179e-15
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-7,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.10239791154404604,-0.03926786187815495,-0.701747999999998,3.3577445916013905e-10,2.1383121308289206e-09,2.1383121308289206e-09,-1.605398732877759e-23,-4.173736935674179e-23,-2.987555600545975e-26,0.09439999999998967,-0.04286149870903334,-0.7053416368308765,0.10739999999998977,-0.03567422504727661,-0.6981543631691196,0.10739999999998971,-0.039267861878154925,-0.7017479999999979,1.8800712670529246e-14,2.3668402017611694e-16,1.0,-0.38304900806322456,0.9237280213470737,6.982962677686169e-15,-0.9237280213470737,-0.38304900806322456,1.7457406694215714e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-4,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.09579791154404621,-0.023967999999964875,-0.717047861878187,3.3577445916013895e-10,2.1383121308289198e-09,2.1383121308289198e-09,-2.4139457350572478e-23,-3.6652017265166064e-23,9.059453985031859e-27,0.0877999999999898,-0.02770684476165279,-0.720786706639875,0.10079999999998995,-0.020229155238277036,-0.7133090171164991,0.10079999999998987,-0.023967999999964858,-0.7170478618781869,1.557554803455756e-14,1.0877550914961838e-14,0.9999999999999998,-0.8744322306243015,0.4851476827167251,8.342542591027194e-15,-0.4851476827167251,-0.8744322306243015,1.7068122146308133e-14
Assem4-2/A6M80-750H2A1-M17.STEP-1/3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP-7,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,2.9268832639077632e-05,2.9268832639077632e-08,1000.0,0.10310000051344081,0.03954312096013428,-0.6848480006427615,1.1080941708993491e-10,3.536485776843505e-11,1.108113059434867e-10,2.4454414416932258e-17,5.557090193647562e-16,-2.955579880869991e-17,0.1003317735141184,0.03538200000003591,-0.687616226485869,0.10586822648585931,0.04197498278462393,-0.682079773514128,0.10309999999998884,0.04198200000003593,-0.6848479999999985,-0.5469441386040037,0.8371691043312125,-4.982962677686308e-15,-9.66521111710783e-15,2.663010380596217e-17,1.0,0.8371691043312125,0.5469441386040037,7.982962677686179e-15
Assem4-2/A6M80-750H2A1-M17.STEP-1/3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP-6,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3114000001____________________M2x5(GBT6560-2014 ________ ____).STEP.SLDPRT,2.9268832639077632e-05,2.9268832639077632e-08,1000.0,0.11210000051344114,0.039543120960135465,-0.7028480006427613,1.1080941708993491e-10,3.536485776843505e-11,1.108113059434867e-10,2.4454414416932258e-17,5.557090193647562e-16,-2.955579880869991e-17,0.10933177351411873,0.0353820000000371,-0.7056162264858687,0.11486822648585963,0.041974982784625116,-0.7000797735141278,0.11209999999998917,0.041982000000037115,-0.7028479999999983,-0.5469441386040037,0.8371691043312125,-4.982962677686308e-15,-9.66521111710783e-15,2.663010380596217e-17,1.0,0.8371691043312125,0.5469441386040037,7.982962677686179e-15
Assem4-2/A6M80-750H2A1-M17.STEP-1/3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP-5,2,Assem4-2/A6M80-750H2A1-M17.STEP-1,3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,Default,C:\Users\anshm\AppData\Local\Temp\swx53220\IC~~\3111000003__________________M3x10(GBT70.1-2000 ________ ____ ____ 12.9____.STEP.SLDPRT,0.0001326739194946088,1.326739194946088e-07,999.9999999999999,0.09579791154404554,0.03313186187822498,-0.7017479999999956,3.3577445916013905e-10,2.13831213082892e-09,2.13831213082892e-09,-7.402669237186884e-24,-4.3020037280152634e-23,-5.795453158198187e-26,0.08779999999998914,0.0293930171165371,-0.7054868447616836,0.10079999999998929,0.036870706639912855,-0.6980091552383076,0.1007999999999892,0.033131861878225026,-0.7017479999999955,1.2877550914961778e-14,-1.5575548034557615e-14,1.0,0.48514768271672903,0.8744322306242994,7.372247225593739e-15,-0.8744322306242994,0.48514768271672903,1.8816986607556743e-14
Assem4-2/Part26-1,1,Assem4-2,Part26.SLDPRT,Default,C:\Users\anshm\Downloads\Part26.SLDPRT,0.11743318270275127,0.00011743318270275127,1000.0,0.02560830524838719,-0.01825689160723963,-0.6808479999999986,0.00028731536671307864,0.0002503174640119555,8.672342672766975e-05,-1.6540659338080404e-05,6.86683781797134e-19,-7.788078674525177e-20,0.009999999999988792,-0.04319999999996594,-0.7619999999999987,0.05999999999998937,0.03706400000003408,-0.5996959999999985,0.00999999999998908,-0.003067999999965945,-0.6808479999999987,3.4914813388431334e-15,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,3.4914813388431334e-15
R6Base Assembly-1/R6Rail_Block_Risers-4,1,R6Base Assembly-1,R6Rail_Block_Risers.SLDPRT,Default,C:\Users\anshm\Downloads\Major Assembly\R6Rail_Block_Risers.SLDPRT,0.013471533014477998,1.3471533014477997e-05,1000.0,-0.029999999999990267,-0.03510000000008906,-0.5040000000000016,7.776046256585501e-07,2.6565718489701992e-06,2.4682120773649166e-06,-5.177179425281144e-24,-4.1967052218148236e-22,8.93355061557267e-25,-0.05249999999999026,-0.043200000000089056,-0.5140000000000016,-0.007499999999990268,-0.02700000000008906,-0.49400000000000155,-0.029999999999990257,-0.043200000000089056,-0.5040000000000016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
